pathway	pval	padj	log2err	ES	NES	size	leadingEdge	timepoint	confidence_levels
PAX6_1	0.7581573896353166	0.8159217621789597	0.05652995250563114	0.3343926084661224	0.7384653549237024	11	OLFM3;ITGB1;MMP2;NANOG;ITGA5	1	A
USF1_1	0.7565055762081785	0.8159217621789597	0.05513517633852569	0.28338140676074447	0.7565071585878382	42	FMR1;ID4;B2M;CXCR4;ABCA1;SERBP1	1	A
JUND_1	0.7701375245579568	0.8209956629721615	0.056886416047570075	0.35099871578081265	0.7354614094229485	9	GADD45A;SOX4	1	A
SOX2_1	0.7837837837837838	0.8277342763324071	0.058718587955594134	0.36687488397367995	0.7196548835500856	7	NTRK3;NANOG;GLI2;HHAT	1	A
ERG_1	0.8421052631578947	0.8810875188417664	0.052375908409799665	-0.3233371821012313	-0.6844624801150822	8	TMPRSS2;NOS3;CDH5;ENG;ICAM2;HMOX1	1	A
GATA1_1	0.8498985801217038	0.8810875188417664	0.053787280776029955	-0.3244452490613661	-0.6988022025293651	9	EPO;TBXA2R;AGGF1;GP6;CYBB;WT1	1	A
EGR1_-1	0.9193857965451055	0.9444599546326994	0.047638725929082505	-0.28423925280427964	-0.5814060748102908	7	MYB;COL2A1	1	A
E2F2_1	0.9510763209393346	0.9682128312265298	0.04697587278218445	0.2512512304698321	0.5768982558398579	14	MCM6;ASF1B;E2F1;PLK4;CDT1;MAP3K5;CDCA7	1	A
ETV4_1	0.9712092130518234	0.9798807238826432	0.04513442222090974	0.22680150393593612	0.5008635025443411	11	VIM;MMP2;ETS1	1	A
AR_-1	0.9874476987447699	0.9874476987447699	0.04831175810550189	0.25621080281575515	0.48681196121560366	6	NCOA2;KIAA1217;AKR1C3	1	A
ETS1_1	2.9024582239392235e-6	2.3061636447851207e-4	0.6272567397185284	0.6557215580320132	2.315355707907639	113	EGR1;FOS;EGR2;CDKN1A;SPRY2;DUSP6;CASP8;VEGFA;WT1	2	A
ETS2_1	4.081705565991364e-6	2.3061636447851207e-4	0.610526878385931	0.8743536589252634	2.7910276362240203	23	EGR1;FOS;MSR1;VWF;ERG;CSF3R	2	A
CREB1_1	6.942809803523536e-6	2.615125025993865e-4	0.610526878385931	0.7803434520171396	2.5899057187524113	56	EGR1;FOS;PCSK1;SPRY2;MITF;CYP19A1;VEGFA;NR4A3;MUC4;CYP17A1;MUC5AC	2	A
